,precision,recall,f1-score,support
b'\xc6\xb9',0.0,0.0,0.0,1.0
b'\xc6\xba',0.0,0.0,0.0,11.0
b'\xc6\xbb',0.0,0.0,0.0,148.0
b'\xc6\xbc',0.0,0.0,0.0,46.0
b'\xc6\xbe',0.0,0.0,0.0,12.0
b'\xc6\xbf',0.0,0.0,0.0,41.0
b'\xc7\x80',0.0,0.0,0.0,4.0
b'\xc7\x81',0.0,0.0,0.0,18.0
b'\xc7\x82',0.0,0.0,0.0,27.0
b'\xc7\x83',0.0,0.0,0.0,25.0
b'\xc7\x84',0.0,0.0,0.0,1.0
b'\xc7\x85',0.0,0.0,0.0,19.0
b'\xc7\x86',0.0,0.0,0.0,12.0
b'\xc7\x87',0.0,0.0,0.0,43.0
b'\xc7\x88',0.0,0.0,0.0,12.0
b'\xc7\x89',0.0,0.0,0.0,46.0
b'\xc7\x8a',0.0,0.0,0.0,27.0
b'\xc7\x8b',0.0,0.0,0.0,9.0
b'\xc7\x8c',0.0,0.0,0.0,43.0
b'\xc7\x8d',0.0,0.0,0.0,7.0
b'\xc7\x8e',0.0,0.0,0.0,7.0
b'\xc7\x90',0.0,0.0,0.0,7.0
b'\xc7\x91',0.0,0.0,0.0,7.0
b'\xc7\x92',0.0,0.0,0.0,6.0
b'\xc7\x93',0.0,0.0,0.0,6.0
b'\xc7\x95',0.0,0.0,0.0,1.0
b'\xc7\x96',0.0,0.0,0.0,1.0
b'\xc7\x97',0.0,0.0,0.0,2.0
b'\xc7\x98',0.0,0.0,0.0,18.0
b'\xc7\x9e',0.0,0.0,0.0,429.0
b'\xc7\x9f',0.0,0.0,0.0,3.0
b'\xc7\xa0',0.0,0.0,0.0,3.0
b'\xc7\xa1',0.0,0.0,0.0,22.0
b'\xc7\xa2',0.0,0.0,0.0,22.0
b'\xc7\xa3',0.0,0.0,0.0,21.0
b'\xc7\xa4',0.0,0.0,0.0,21.0
b'\xc7\xa5',0.0,0.0,0.0,21.0
b'\xc7\xa6',0.0,0.0,0.0,21.0
b'\xc7\xa7',0.0,0.0,0.0,2.0
b'\xc7\xa8',0.0,0.0,0.0,15.0
